,Line,Date,Shift,NoJig,Std Load,ItemCode,Description,Insp(B/H),OK(B/H),NG(B/H),Warna,Buram,Berbayang,Kotor,Tdk Terplating,Rontok/ Blister,Tipis/ EE No Plating,Flek Kuning,Terbakar,Watermark,Jig Mark/ Renggang,Lecet/ Scratch,Seret,Flek Hitam,Flek Tangan,Belang/ Dempet,Bintik,Kilap,Tebal,Flek Putih,Spark,Kotor H/ Oval,Terkikis/ Crack,Dimensi/ Penyok,MTL/ SLipMelintir,Kategori,Month,Cust_ID,Tot_NG,NG%
727,Rack 1,2024-07-08T00:00:00.000,2,1.14.12.6.14A,480,CTA BOLT K2033,Bolt K2033-559-10,0.6667,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,CTA,0,0
728,Rack 1,2024-07-08T00:00:00.000,2,1.14.12.6.14A,480,DPP YOK 5D9,Yoke 5D9-H181J-01,0.3333,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,DPP,0,0
729,Rack 1,2024-07-08T00:00:00.000,2,1.12.16.26.27,288,SSY KIC 2PBH,Kick 2PHB 14K147,0.9931,0.9931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0,0
730,Rack 1,2024-07-08T00:00:00.000,2,1.12.13.10.44,288,SSY KIC 2PBH,Kick 2PHB 14K147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0,0
731,Rack 1,2024-07-08T00:00:00.000,2,1.2.12.4.2,378,DPP YOK 1WD,Yoke 1WD-H181J-01,0.9868,0.9868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,DPP,0,0
732,Rack 1,2024-07-08T00:00:00.000,2,1.12.14.15.32,288,SSY KIC 2PBH,Kick 2PHB 14K147,1,0.9931,0.0069,0,0,0,0,0.006944444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0.006944444444444444,0.6944444444444444
733,Rack 1,2024-07-08T00:00:00.000,2,1.24.2.3.12,480,IMN LEV PAR D40L RH,Lever Parking D40L RH (52-42355-44510) BLACK,1,0.8438,0.1562,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,IMN,0.15625,15.625
734,Rack 1,2024-07-08T00:00:00.000,2,36.5.3.1.24.16,480,IMN LEV PAR D40L RH,Lever Parking D40L RH (52-42355-44510) BLACK,1,0.7812,0.2188,0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,IMN,0.21875,21.875
735,Rack 1,2024-07-08T00:00:00.000,2,37.8.3.1.24.6,480,IMN LEV PAR D40L LH,Lever Parking D40L LH (52-42355-34510) BLACK,1,0.9688,0.0312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,,Jul,IMN,0.03125,3.125
736,Rack 1,2024-07-08T00:00:00.000,2,1.12.6.21.35,288,SSY KIC 2PBH,Kick 2PHB 14K147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0,0
